brand,model,year,price,transmission,mileage,fuelType,mpg,engineSize
audi, Q2,2019,25499,Semi-Auto,7897,Diesel,47.9,2.0
audi, A6,2016,15500,Automatic,24744,Diesel,56.5,3.0
audi, Q3,2015,16200,Automatic,30075,Diesel,51.4,2.0
audi, A1,2017,14000,Manual,12577,Petrol,58.9,1.4
audi, A6,2016,17300,Automatic,24421,Diesel,61.4,2.0
audi, A4,2018,17500,Manual,15207,Petrol,51.4,1.4
audi, A4,2017,15000,Manual,14864,Petrol,52.3,1.4
audi, Q2,2019,21499,Manual,2721,Diesel,49.6,1.6
audi, A4,2017,17000,Manual,14068,Petrol,51.4,1.4
audi, A4,2017,14500,Manual,23092,Petrol,52.3,1.4
audi, Q3,2017,17500,Automatic,30682,Diesel,50.4,2.0
audi, A6,2016,12000,Automatic,71311,Diesel,61.4,2.0
audi, A6,2018,22000,Automatic,29477,Diesel,61.4,2.0
audi, Q5,2016,17800,Automatic,60551,Diesel,47.1,2.0
audi, A6,2017,19800,Automatic,42071,Diesel,61.4,2.0
audi, A3,2016,15500,Manual,25376,Petrol,57.6,1.4
audi, A1,2017,12100,Manual,49221,Petrol,55.4,1.4
audi, A4,2014,11700,Manual,31376,Diesel,58.9,2.0
audi, A5,2015,11500,Automatic,62668,Diesel,53.3,2.0
audi, A4,2017,17400,Manual,10001,Petrol,51.4,1.4
audi, A6,2016,16000,Automatic,52544,Diesel,61.4,2.0
audi, A4,2016,13100,Manual,63097,Petrol,49.6,2.0
audi, A6,2016,14700,Manual,72967,Diesel,61.4,2.0
audi, Q3,2016,16500,Manual,23307,Diesel,49.6,2.0
audi, Q2,2018,20000,Manual,12167,Petrol,50.4,1.4
audi, Q3,2016,15500,Automatic,11863,Diesel,50.4,2.0
audi, A6,2015,17100,Automatic,32083,Diesel,61.4,2.0
audi, Q5,2017,25750,Automatic,17039,Diesel,55.4,2.0
audi, A1,2017,12800,Manual,20351,Petrol,55.4,1.4
audi, A4,2017,16000,Automatic,58028,Petrol,52.3,2.0
audi, A1,2016,13500,Manual,22780,Petrol,58.9,1.4
audi, A5,2018,19800,Manual,20832,Petrol,47.1,2.0
audi, Q3,2016,15400,Automatic,29196,Diesel,55.4,2.0
audi, A4,2017,13900,Manual,14392,Petrol,53.3,1.4
audi, A4,2018,15600,Manual,20070,Petrol,52.3,1.4
audi, Q3,2016,14700,Manual,32704,Diesel,60.1,2.0
audi, A4,2017,18100,Manual,17278,Petrol,48.7,1.4
audi, A6,2017,16400,Manual,45491,Diesel,61.4,2.0
audi, A3,2014,11498,Semi-Auto,40807,Petrol,50.4,1.8
audi, Q3,2014,11698,Manual,65959,Diesel,49.6,2.0
audi, A4,2013,10498,Manual,31169,Petrol,49.6,1.8
audi, A4,2013,9498,Automatic,42011,Petrol,47.1,2.0
audi, A6,2015,19998,Semi-Auto,56115,Diesel,50.4,3.0
audi, A6,2015,16798,Semi-Auto,65835,Diesel,61.4,2.0
audi, A5,2014,13998,Semi-Auto,52132,Diesel,49.6,3.0
audi, A4,2015,15995,Manual,38787,Diesel,55.4,2.0
audi, A1,2017,13495,Manual,34554,Petrol,55.4,1.4
audi, A6,2015,16985,Manual,34646,Diesel,61.4,2.0
audi, Q5,2017,26485,Semi-Auto,18000,Diesel,56.5,2.0
audi, Q3,2018,23985,Semi-Auto,17085,Petrol,47.9,1.4
audi, Q5,2015,22485,Semi-Auto,38421,Diesel,47.1,2.0
audi, A5,2015,16498,Manual,46637,Diesel,61.4,2.0
audi, Q5,2017,24985,Automatic,29343,Diesel,47.1,2.0
audi, A3,2019,17985,Manual,8449,Diesel,51.4,1.6
audi, A3,2018,16985,Semi-Auto,23860,Petrol,60.1,1.0
audi, A6,2019,29985,Automatic,1881,Diesel,47.9,2.0
audi, A6,2019,27985,Semi-Auto,688,Diesel,47.9,2.0
audi, A6,2019,30985,Automatic,1863,Diesel,47.9,2.0
audi, A6,2019,31985,Semi-Auto,2811,Diesel,47.9,2.0
audi, A6,2019,31985,Semi-Auto,27,Diesel,50.4,2.0
audi, A1,2019,17985,Semi-Auto,2252,Petrol,48.7,1.0
audi, Q2,2019,20985,Automatic,3422,Diesel,47.9,1.6
audi, Q2,2019,23685,Automatic,37,Diesel,47.9,1.6
audi, Q7,2015,29985,Automatic,47606,Diesel,47.9,3.0
audi, A1,2015,12485,Semi-Auto,26625,Petrol,57.6,1.4
audi, A5,2018,24985,Automatic,5071,Petrol,50.4,2.0
audi, Q3,2019,34985,Automatic,10,Diesel,47.1,2.0
audi, A5,2019,29985,Automatic,10,Diesel,51.4,2.0
audi, Q3,2019,34485,Automatic,10,Diesel,47.1,2.0
audi, A1,2019,19685,Manual,10,Petrol,49.6,1.0
audi, A4,2019,34985,Automatic,10,Diesel,53.3,2.0
audi, A6,2019,35895,Automatic,2000,Diesel,47.9,2.0
audi, A6,2019,28985,Semi-Auto,500,Diesel,47.9,2.0
audi, A3,2019,21995,Manual,10,Diesel,54.3,1.6
audi, A5,2019,32485,Automatic,10,Diesel,51.4,2.0
audi, A3,2019,21285,Manual,10,Diesel,51.4,1.6
audi, A3,2014,10985,Automatic,10534,Petrol,56.5,1.2
audi, Q5,2015,18295,Semi-Auto,42793,Diesel,47.1,2.0
audi, A6,2015,18998,Semi-Auto,49039,Diesel,50.4,3.0
audi, A8,2017,38985,Automatic,1420,Diesel,50.4,3.0
audi, A8,2014,18998,Semi-Auto,24786,Diesel,47.9,3.0
audi, A4,2017,17698,Manual,18761,Petrol,51.4,1.4
audi, A3,2017,18998,Semi-Auto,22295,Petrol,56.5,1.4
audi, Q2,2017,16995,Manual,18068,Petrol,52.3,1.4
audi, Q2,2017,14495,Manual,23043,Petrol,55.4,1.0
audi, A5,2014,12998,Semi-Auto,80902,Diesel,60.1,2.0
audi, A4,2019,32485,Automatic,10,Diesel,50.4,2.0
audi, A1,2019,20485,Manual,10,Petrol,48.7,1.0
audi, Q3,2019,34485,Automatic,10,Diesel,47.1,2.0
audi, Q3,2016,18698,Manual,26474,Diesel,52.3,2.0
audi, TT,2018,16498,Manual,34170,Petrol,47.1,1.8
audi, Q3,2019,35985,Automatic,650,Diesel,47.1,2.0
audi, Q3,2018,19485,Manual,7157,Petrol,51.4,1.4
audi, Q3,2016,19995,Semi-Auto,31600,Diesel,50.4,2.0
audi, A3,2019,23485,Manual,10,Diesel,56.5,2.0
audi, A5,2015,17998,Manual,13312,Diesel,57.6,2.0
audi, A6,2018,28985,Semi-Auto,10,Diesel,50.4,2.0
audi, A6,2018,26995,Semi-Auto,15600,Diesel,50.4,2.0
audi, A6,2019,33985,Automatic,5429,Diesel,47.9,2.0
audi, Q3,2017,17298,Manual,16908,Petrol,51.4,1.4
audi, A4,2017,16498,Manual,28801,Petrol,49.6,2.0
audi, A4,2017,16798,Manual,23362,Petrol,50.4,1.4
audi, A6,2018,27985,Semi-Auto,1790,Diesel,50.4,2.0
audi, A4,2018,19485,Semi-Auto,10,Petrol,53.3,1.4
audi, A4,2018,20985,Manual,10,Petrol,52.3,1.4
audi, A3,2018,22285,Automatic,6754,Diesel,52.3,1.6
audi, Q3,2014,14500,Semi-Auto,35423,Diesel,47.9,2.0
audi, Q3,2017,15800,Manual,37203,Petrol,51.4,1.4
audi, A3,2013,13500,Semi-Auto,44405,Diesel,58.9,2.0
audi, Q3,2014,12000,Manual,79389,Diesel,50.4,2.0
audi, A3,2015,13800,Semi-Auto,61808,Diesel,57.6,2.0
audi, A3,2018,19995,Manual,19000,Petrol,49.6,2.0
audi, A6,2019,30995,Semi-Auto,2977,Diesel,47.9,2.0
audi, A4,2019,28485,Automatic,2250,Diesel,51.4,2.0
audi, Q5,2016,21498,Semi-Auto,20547,Diesel,47.1,2.0
audi, Q7,2016,29985,Automatic,38654,Diesel,47.9,3.0
audi, A1,2015,13495,Manual,17152,Petrol,56.5,1.4
audi, A3,2016,14995,Manual,29775,Petrol,60.1,1.4
audi, A1,2017,12495,Manual,20670,Petrol,57.6,1.4
audi, A3,2019,24985,Automatic,2257,Diesel,52.3,1.6
audi, A3,2019,24485,Manual,4039,Diesel,51.4,1.6
audi, A3,2016,16485,Manual,21241,Petrol,52.3,1.4
audi, Q3,2016,20485,Manual,16945,Diesel,49.6,2.0
audi, A4,2018,24985,Automatic,18010,Petrol,49.6,1.4
audi, Q3,2014,14998,Semi-Auto,33842,Diesel,47.9,2.0
audi, A4,2019,27990,Semi-Auto,26,Diesel,47.9,2.0
audi, A3,2018,15995,Manual,17547,Petrol,56.5,1.5
audi, A1,2016,13585,Manual,25010,Petrol,58.9,1.4
audi, A6,2019,31985,Semi-Auto,3278,Diesel,47.9,2.0
audi, A6,2019,30985,Automatic,4445,Diesel,47.9,2.0
audi, Q7,2015,34995,Semi-Auto,21245,Diesel,47.9,3.0
audi, A1,2016,14495,Manual,20905,Petrol,56.5,1.4
audi, A6,2019,29490,Semi-Auto,20,Diesel,55.4,3.0
audi, Q2,2018,23995,Manual,16534,Petrol,49.6,1.4
audi, A3,2016,15995,Manual,14401,Petrol,60.1,1.0
audi, A3,2016,19995,Semi-Auto,19430,Petrol,47.9,2.0
audi, A1,2014,11995,Manual,26141,Petrol,53.3,1.4
audi, Q3,2020,33462,Semi-Auto,7914,Diesel,48.7,2.0
audi, A8,2018,38995,Semi-Auto,6588,Diesel,48.7,3.0
audi, Q7,2016,31995,Semi-Auto,48248,Diesel,47.9,3.0
audi, A1,2019,18995,Manual,7564,Petrol,51.4,1.0
audi, A8,2018,41995,Semi-Auto,11276,Diesel,48.7,3.0
audi, A3,2016,16995,Manual,16555,Petrol,60.1,1.4
audi, Q3,2017,19995,Manual,18380,Petrol,49.6,1.4
audi, A3,2016,13995,Manual,36409,Petrol,60.1,1.4
audi, A6,2017,27995,Semi-Auto,35219,Diesel,50.4,3.0
audi, A3,2017,13995,Manual,36400,Petrol,61.4,1.4
audi, Q2,2018,21995,Manual,9634,Petrol,50.4,1.4
audi, A5,2015,18990,Semi-Auto,43417,Diesel,50.4,2.0
audi, A8,2018,35995,Semi-Auto,12195,Diesel,50.4,3.0
audi, A5,2018,27995,Semi-Auto,12686,Diesel,58.9,3.0
audi, A5,2020,36312,Semi-Auto,7423,Diesel,51.4,2.0
audi, Q3,2016,18495,Manual,20952,Diesel,55.4,2.0
audi, Q5,2014,19995,Manual,36970,Diesel,47.9,2.0
audi, Q3,2015,17995,Manual,38244,Petrol,49.6,1.4
audi, Q7,2015,31995,Semi-Auto,26407,Diesel,47.9,3.0
audi, Q2,2019,23995,Manual,6484,Diesel,49.6,1.6
audi, A3,2019,20995,Manual,3325,Diesel,49.6,1.6
audi, A4,2015,14995,Semi-Auto,41755,Diesel,53.3,2.0
audi, A3,2015,12490,Semi-Auto,35455,Petrol,58.9,1.4
audi, A3,2017,14298,Manual,14607,Petrol,60.1,1.0
audi, A1,2016,11498,Manual,24952,Petrol,55.4,1.4
audi, Q3,2017,19998,Manual,21576,Petrol,49.6,1.4
audi, Q5,2017,27995,Semi-Auto,20870,Diesel,55.4,2.0
audi, Q3,2016,19995,Manual,22353,Diesel,49.6,2.0
audi, Q3,2016,19995,Semi-Auto,23205,Diesel,55.4,2.0
audi, A1,2017,13995,Manual,15361,Petrol,55.4,1.4
audi, A6,2019,29995,Semi-Auto,8598,Diesel,47.9,2.0
audi, A3,2019,19990,Semi-Auto,6000,Diesel,52.3,1.6
audi, A3,2019,19990,Semi-Auto,5199,Diesel,52.3,1.6
audi, A1,2018,14995,Manual,15092,Petrol,57.7,1.4
audi, A3,2013,11490,Manual,35804,Petrol,54.3,1.4
audi, A3,2017,18495,Manual,24000,Petrol,60.1,1.4
audi, A3,2019,23995,Semi-Auto,2868,Diesel,52.3,1.6
audi, A4,2019,27990,Semi-Auto,6541,Diesel,47.9,2.0
audi, Q3,2017,18995,Semi-Auto,27057,Petrol,47.9,1.4
audi, A4,2013,12990,Manual,42185,Diesel,55.4,2.0
audi, Q5,2015,17995,Semi-Auto,59120,Diesel,47.1,2.0
audi, A5,2016,16498,Semi-Auto,41431,Diesel,52.3,2.0
audi, A6,2019,33298,Semi-Auto,4899,Diesel,47.9,2.0
audi, A3,2017,15995,Manual,17000,Petrol,60.1,1.4
audi, A4,2017,20995,Semi-Auto,51204,Diesel,56.5,2.0
audi, A3,2013,14995,Semi-Auto,38776,Petrol,56.5,1.4
audi, Q3,2017,19995,Manual,21972,Petrol,49.6,1.4
audi, Q2,2017,22995,Semi-Auto,5674,Petrol,52.3,1.4
audi, Q3,2015,19995,Semi-Auto,20825,Petrol,47.9,1.4
audi, A1,2015,12995,Manual,20042,Petrol,57.6,1.4
audi, Q2,2019,22663,Manual,3657,Diesel,49.6,1.6
audi, Q2,2019,24368,Manual,4502,Diesel,47.9,1.6
audi, Q2,2018,19990,Manual,16414,Petrol,50.4,1.4
audi, Q2,2018,21495,Manual,27198,Petrol,50.4,1.4
audi, Q5,2018,27995,Semi-Auto,15076,Diesel,56.5,2.0
audi, Q5,2017,25995,Semi-Auto,29330,Diesel,56.5,2.0
audi, Q2,2017,19995,Manual,25520,Petrol,50.4,1.4
audi, A4,2020,38534,Semi-Auto,7521,Diesel,49.6,2.0
audi, A3,2019,19990,Semi-Auto,6018,Diesel,52.3,1.6
audi, Q2,2019,24365,Manual,3578,Diesel,47.9,1.6
audi, A6,2019,33295,Semi-Auto,4196,Diesel,47.9,2.0
audi, A1,2015,13995,Manual,32065,Petrol,55.4,1.4
audi, A8,2017,28995,Semi-Auto,15072,Diesel,47.1,3.0
audi, Q3,2017,16490,Manual,50286,Diesel,61.4,2.0
audi, Q7,2017,35995,Semi-Auto,33165,Diesel,47.9,3.0
audi, Q2,2017,19995,Manual,27078,Petrol,50.4,1.4
audi, Q2,2017,19995,Manual,29874,Petrol,50.4,1.4
audi, Q5,2015,21995,Semi-Auto,28977,Diesel,47.1,2.0
audi, Q3,2016,21995,Semi-Auto,28526,Diesel,50.4,2.0
audi, Q3,2017,22995,Manual,14068,Diesel,54.3,2.0
audi, A3,2018,18990,Manual,6321,Petrol,50.4,2.0
audi, A3,2019,23995,Manual,2085,Diesel,51.4,1.6
audi, A6,2019,33410,Semi-Auto,3968,Diesel,47.9,2.0
audi, Q2,2019,22997,Manual,6921,Petrol,47.1,1.0
audi, A3,2015,14995,Manual,50062,Petrol,57.6,1.2
audi, A1,2015,11995,Manual,31500,Petrol,57.6,1.4
audi, A1,2015,12995,Manual,21807,Petrol,57.6,1.4
audi, A6,2019,29990,Semi-Auto,5397,Diesel,50.4,2.0
audi, A3,2017,18995,Semi-Auto,19735,Petrol,57.6,1.4
audi, Q3,2017,20995,Semi-Auto,22175,Petrol,47.9,1.4
audi, A4,2018,23995,Semi-Auto,13907,Petrol,49.6,1.4
audi, A4,2019,26490,Semi-Auto,4836,Diesel,48.7,2.0
audi, Q5,2015,21995,Semi-Auto,18188,Diesel,47.1,2.0
audi, A5,2016,16995,Manual,41497,Diesel,57.6,2.0
audi, A1,2016,14995,Manual,13961,Petrol,58.9,1.4
audi, A6,2019,30990,Semi-Auto,10852,Diesel,47.9,2.0
audi, A6,2019,29490,Semi-Auto,4982,Diesel,47.9,2.0
audi, Q3,2017,20995,Semi-Auto,26494,Petrol,47.9,1.4
audi, A1,2017,14495,Manual,23655,Petrol,55.4,1.4
audi, A3,2018,19995,Manual,17789,Petrol,54.3,1.5
audi, A6,2019,33640,Semi-Auto,5023,Diesel,47.9,2.0
audi, A1,2017,14995,Manual,27000,Petrol,55.4,1.4
audi, A6,2016,19495,Semi-Auto,43099,Diesel,56.5,2.0
audi, Q2,2017,17995,Manual,18842,Petrol,55.4,1.0
audi, A5,2019,30728,Semi-Auto,5712,Diesel,51.4,2.0
audi, A5,2015,18995,Semi-Auto,38540,Diesel,58.9,2.0
audi, A1,2017,13995,Manual,25552,Petrol,56.5,1.4
audi, A7,2015,18495,Semi-Auto,72283,Diesel,54.3,3.0
audi, A1,2016,13495,Manual,23745,Petrol,57.6,1.4
audi, A1,2014,13995,Semi-Auto,15300,Petrol,53.3,1.4
audi, Q3,2018,25995,Semi-Auto,9185,Petrol,48.7,1.4
audi, A1,2015,12298,Manual,15837,Petrol,58.9,1.4
audi, Q3,2016,15998,Manual,15264,Diesel,61.4,2.0
audi, Q2,2018,18998,Manual,8211,Diesel,49.6,1.6
audi, Q2,2017,21995,Manual,10962,Petrol,50.4,1.4
audi, A1,2017,15995,Manual,8128,Petrol,55.4,1.4
audi, Q3,2015,13995,Manual,35446,Diesel,54.3,2.0
audi, Q3,2016,18499,Semi-Auto,30366,Diesel,50.4,2.0
audi, Q3,2015,15998,Semi-Auto,19300,Petrol,47.9,1.4
audi, A1,2016,13995,Manual,8577,Petrol,55.4,1.4
audi, A6,2017,22995,Semi-Auto,24336,Diesel,61.4,2.0
audi, Q2,2018,17495,Manual,23813,Petrol,55.4,1.0
audi, Q2,2017,21995,Semi-Auto,17633,Petrol,52.3,1.4
audi, Q5,2017,22995,Semi-Auto,47952,Diesel,56.5,2.0
audi, A1,2016,15495,Manual,31147,Petrol,56.5,1.4
audi, A5,2015,14500,Semi-Auto,56875,Diesel,53.3,2.0
audi, A5,2015,18995,Manual,37056,Diesel,53.3,2.0
audi, A1,2016,13995,Manual,31031,Petrol,56.5,1.4
audi, A4,2015,17995,Semi-Auto,34906,Diesel,49.6,3.0
audi, A1,2016,15495,Manual,15307,Petrol,55.4,1.4
audi, A1,2016,12995,Manual,42165,Petrol,56.5,1.4
audi, A3,2018,21495,Manual,8545,Diesel,53.3,1.6
audi, A3,2016,13498,Manual,30287,Petrol,60.1,1.4
audi, A3,2016,14998,Manual,1893,Petrol,60.1,1.4
audi, A4,2017,16998,Manual,6896,Petrol,52.3,1.4
audi, A8,2017,24500,Semi-Auto,37492,Diesel,47.1,3.0
audi, Q5,2014,16000,Manual,46622,Diesel,47.9,2.0
audi, A6,2013,11995,Semi-Auto,40003,Diesel,56.5,2.0
audi, Q2,2016,19995,Manual,23426,Petrol,50.4,1.4
audi, A3,2015,14995,Semi-Auto,46465,Petrol,54.3,1.4
audi, Q5,2018,29995,Semi-Auto,14600,Diesel,55.4,2.0
audi, A1,2019,23995,Manual,3232,Petrol,50.4,1.0
audi, A1,2017,15995,Manual,16086,Petrol,55.4,1.4
audi, A1,2017,13995,Manual,15981,Petrol,57.6,1.4
audi, A3,2018,19995,Manual,12795,Petrol,47.1,1.0
audi, Q2,2019,23995,Automatic,5859,Diesel,47.9,1.6
audi, A6,2019,34995,Automatic,5565,Diesel,47.9,2.0
audi, A4,2017,16498,Manual,13122,Petrol,52.3,1.4
audi, Q5,2016,21995,Semi-Auto,26500,Diesel,47.1,2.0
audi, A4,2016,21995,Semi-Auto,47600,Diesel,56.5,2.0
audi, A3,2018,22995,Automatic,17252,Petrol,56.5,1.5
audi, A8,2017,38995,Automatic,3338,Diesel,50.4,3.0
audi, Q5,2018,28995,Automatic,22913,Diesel,56.5,2.0
audi, Q2,2017,21495,Manual,11125,Petrol,50.4,1.4
audi, A1,2016,11498,Manual,22669,Petrol,57.6,1.4
audi, Q3,2016,19498,Manual,14419,Diesel,52.3,2.0
audi, A1,2015,10698,Manual,37458,Petrol,55.4,1.4
audi, A1,2014,11998,Manual,23015,Petrol,60.1,1.4
audi, A6,2016,22500,Semi-Auto,26784,Diesel,54.3,2.0
audi, TT,2016,17995,Manual,24256,Petrol,47.1,1.8
audi, A4,2018,28995,Semi-Auto,11047,Diesel,56.5,2.0
audi, A4,2017,22995,Semi-Auto,19444,Diesel,57.6,2.0
audi, Q3,2017,17995,Manual,30123,Petrol,51.4,1.4
audi, A4,2019,29995,Automatic,13690,Diesel,47.9,2.0
audi, Q3,2016,20495,Semi-Auto,25125,Diesel,50.4,2.0
audi, A3,2019,19495,Manual,3265,Petrol,47.1,1.0
audi, A1,2016,11995,Manual,38502,Petrol,57.6,1.4
audi, A1,2016,12995,Manual,36276,Petrol,55.4,1.4
audi, Q5,2017,25995,Semi-Auto,20364,Diesel,56.5,2.0
audi, A1,2016,11995,Manual,22606,Petrol,57.6,1.4
audi, A5,2016,16995,Manual,26307,Diesel,60.1,2.0
audi, Q7,2016,33995,Semi-Auto,34685,Diesel,47.9,3.0
audi, A5,2016,18995,Manual,34728,Diesel,57.6,2.0
audi, A1,2017,14995,Manual,24427,Petrol,55.4,1.4
audi, A1,2017,12995,Manual,16763,Petrol,55.4,1.4
audi, Q2,2017,15995,Manual,38484,Petrol,55.4,1.0
audi, Q2,2017,19995,Automatic,33523,Diesel,58.9,2.0
audi, A4,2017,17298,Manual,6402,Petrol,52.3,1.4
audi, A4,2016,15998,Manual,21944,Petrol,49.6,2.0
audi, A6,2019,25998,Semi-Auto,19118,Diesel,47.9,2.0
audi, A1,2019,19995,Manual,2235,Petrol,49.6,1.0
audi, Q3,2016,16995,Semi-Auto,52496,Diesel,50.4,2.0
audi, A6,2016,18350,Automatic,52255,Diesel,61.4,2.0
audi, Q7,2016,12500,Semi-Auto,26705,Diesel,47.9,3.0
audi, A1,2016,12500,Manual,26705,Petrol,58.9,1.4
audi, A1,2018,12500,Manual,18120,Petrol,57.7,1.4
audi, Q3,2016,18000,Semi-Auto,11966,Petrol,47.9,1.4
audi, A3,2016,14500,Manual,34728,Petrol,57.6,1.4
audi, A6,2015,18990,Semi-Auto,70228,Diesel,54.3,3.0
audi, Q3,2014,12595,Manual,52006,Diesel,54.3,2.0
audi, Q3,2016,20495,Semi-Auto,28994,Diesel,50.4,2.0
audi, A4,2019,28995,Semi-Auto,4708,Diesel,49.6,2.0
audi, Q2,2017,19495,Manual,9256,Petrol,52.3,1.4
audi, A6,2018,31700,Semi-Auto,7415,Diesel,47.9,2.0
audi, A5,2018,33500,Automatic,9102,Diesel,51.4,3.0
audi, Q2,2019,22495,Manual,1000,Diesel,49.6,1.6
audi, A4,2016,18000,Manual,23596,Petrol,48.7,2.0
audi, A6,2019,32250,Automatic,238,Diesel,47.9,2.0
audi, A5,2019,31695,Automatic,4693,Diesel,47.1,2.0
audi, Q3,2016,19000,Manual,28186,Diesel,52.3,2.0
audi, Q3,2016,16995,Semi-Auto,37000,Diesel,54.3,2.0
audi, A1,2017,14695,Manual,13555,Petrol,55.4,1.4
audi, Q3,2016,17395,Manual,34500,Diesel,49.6,2.0
audi, A3,2017,17500,Manual,14500,Petrol,60.1,1.4
audi, A6,2019,32494,Automatic,2394,Diesel,50.4,2.0
audi, A6,2019,31000,Automatic,1000,Diesel,50.4,2.0
audi, A8,2018,37000,Automatic,10296,Diesel,50.4,3.0
audi, A4,2019,25995,Semi-Auto,7447,Diesel,47.9,2.0
audi, A6,2019,31500,Automatic,2408,Diesel,50.4,2.0
audi, Q2,2019,23374,Manual,1000,Diesel,49.6,1.6
audi, Q2,2019,22495,Manual,1000,Diesel,49.6,1.6
audi, A5,2019,27995,Semi-Auto,21480,Diesel,48.7,2.0
audi, A3,2017,12798,Manual,29998,Petrol,61.4,1.4
audi, Q3,2016,17698,Semi-Auto,22168,Petrol,47.9,1.4
audi, A3,2017,19698,Semi-Auto,18389,Petrol,57.7,1.5
audi, A6,2016,17298,Manual,31759,Diesel,61.4,2.0
audi, A5,2015,14998,Manual,32125,Diesel,57.6,2.0
audi, Q3,2014,11950,Manual,81877,Diesel,49.6,2.0
audi, Q3,2016,16998,Manual,27692,Petrol,49.6,1.4
audi, Q3,2015,13995,Manual,35446,Diesel,54.3,2.0
audi, Q2,2018,22590,Semi-Auto,6672,Diesel,57.7,2.0
audi, Q2,2018,20498,Manual,10005,Petrol,50.4,1.4
audi, A3,2017,16495,Manual,36031,Petrol,60.1,1.4
audi, A1,2017,13998,Manual,28752,Petrol,58.9,1.4
audi, A1,2014,8498,Manual,58601,Petrol,52.3,1.4
audi, A3,2017,19998,Manual,21113,Petrol,55.4,1.5
